,City,Country,Date,Latitude,Longitude,Cloudiness (%),Wind Speed (mph),Max Temp (F),Humidity (%)
0,georgetown,MY,2022-04-24 12:06:44,5.4112,100.3354,20,2.06,87.99800000000002,74
1,port elizabeth,ZA,2022-04-24 12:07:46,-33.918,25.5701,14,3.58,60.36799999999998,97
2,gander,CA,2022-04-24 12:05:27,48.9682,-54.5906,100,9.26,32.432000000000016,100
3,avera,US,2022-04-24 12:07:48,33.194,-82.5271,1,3.54,66.52400000000002,80
4,camana,PE,2022-04-24 12:07:50,-16.6228,-72.7111,25,2.89,67.81999999999996,87
5,avarua,CK,2022-04-24 12:07:51,-21.2078,-159.775,20,3.6,79.12400000000002,83
6,kasongo-lunda,CD,2022-04-24 12:07:53,-6.4667,16.8167,100,0.91,69.60199999999998,99
7,ushuaia,AR,2022-04-24 12:04:42,-54.8,-68.3,20,6.17,40.92799999999996,81
8,carlos chagas,BR,2022-04-24 12:07:55,-17.7031,-40.7664,33,1.55,71.76199999999996,94
9,ponta do sol,PT,2022-04-24 12:07:56,32.6667,-17.1,46,1.96,60.98000000000005,67
10,ancud,CL,2022-04-24 12:07:58,-41.8697,-73.8203,100,13.17,53.492,89
11,taolanaro,,,,,,,,
12,mataura,NZ,2022-04-24 12:08:00,-46.1927,168.8643,98,3.72,52.75399999999995,89
13,santana do livramento,BR,2022-04-24 12:08:01,-30.8908,-55.5328,4,1.88,51.38599999999997,70
14,dikson,RU,2022-04-24 12:08:03,73.5069,80.5464,100,6.32,5.161999999999953,93
15,grindavik,IS,2022-04-24 12:08:04,63.8424,-22.4338,75,1.03,43.538000000000046,81
16,thompson,CA,2022-04-24 12:08:06,55.7435,-97.8558,100,6.68,30.50600000000003,92
17,yellowknife,CA,2022-04-24 12:08:07,62.456,-114.3525,11,5.8,24.47599999999999,83
18,lebu,CL,2022-04-24 12:08:08,-37.6167,-73.65,75,7.66,55.75999999999998,90
19,khatanga,RU,2022-04-24 12:08:10,71.9667,102.5,97,2.89,12.380000000000042,89
20,mariental,NA,2022-04-24 12:08:11,-24.6333,17.9667,2,3.45,57.95600000000003,60
21,nouadhibou,MR,2022-04-24 12:08:12,20.931,-17.0347,27,6.98,64.184,78
22,perundurai,IN,2022-04-24 12:08:14,11.2667,77.5833,100,1.31,83.35399999999996,60
23,asau,RO,2022-04-24 12:08:15,46.4333,26.4,27,1.72,48.21799999999999,100
24,east london,ZA,2022-04-24 12:08:16,-33.0153,27.9116,74,4.11,61.66400000000003,89
25,victoria,HK,2022-04-24 12:07:15,22.2855,114.1577,37,3.13,87.24199999999999,82
26,castro,BR,2022-04-24 12:08:19,-24.7911,-50.0119,100,0.17,62.83399999999999,92
27,jiancheng,CN,2022-04-24 12:08:20,30.391,104.5491,95,8.86,74.93000000000004,73
28,sentyabrskiy,,,,,,,,
29,tiksi,RU,2022-04-24 12:08:23,71.6872,128.8694,100,1.96,10.616000000000007,87
30,tasiilaq,GL,2022-04-24 12:08:24,65.6145,-37.6368,91,3.52,36.03200000000002,84
31,chimoio,MZ,2022-04-24 12:08:25,-19.1164,33.4833,3,0.92,61.71799999999999,97
32,meyungs,,,,,,,,
33,iroquois falls,CA,2022-04-24 12:08:28,48.7669,-80.6831,100,5.19,37.346000000000046,87
34,narsaq,GL,2022-04-24 12:08:29,60.9167,-46.05,100,1.59,37.88599999999997,98
35,cape town,ZA,2022-04-24 12:04:41,-33.9258,18.4232,1,1.43,56.174000000000014,75
36,lerwick,GB,2022-04-24 12:08:31,60.1545,-1.1494,96,6.76,44.86999999999996,75
37,punta arenas,CL,2022-04-24 12:08:33,-53.15,-70.9167,100,1.54,43.17799999999996,93
